Titulo;Link
Barcelona v Atlético Madrid: La Liga – live!;https://www.theguardian.com/football/live/2019/apr/06/barcelona-v-atletico-madrid-la-liga-live
Merkel throws May a lifeline over UK’s Brexit departure date;https://www.theguardian.com/politics/2019/apr/06/merkel-may-lifeline-brexit-departure-date-withdrawal-agreement
Furious Tory MPs will bid to oust May if UK fights Euro poll;https://www.theguardian.com/uk-news/2019/apr/06/furious-tory-mps-will-bid-to-oust-may-if-uk-fights-euro-poll
Labour chairman attacks Corbyn over ‘people’s vote’ on Brexit;https://www.theguardian.com/uk-news/2019/apr/06/labour-chairman-attacks-corbyn-over-second-referendum-plan
Kent in control at Taunton with help from Mitchell Claydon;https://www.theguardian.com/sport/2019/apr/06/kent-mitchell-claydon-taunton
‘Brexit makes picking the Grand National winner look easy’;https://www.theguardian.com/politics/2019/apr/06/brexit-makes-picking-grand-national-winner-look-easy
Bayern Munich 5-0 Borussia Dortmund: Bundesliga – as it happened;https://www.theguardian.com/football/live/2019/apr/06/bayern-munich-v-borussia-dortmund-bundesliga-live
Gabriel Jesus fires Manchester City past Brighton and into FA Cup final;https://www.theguardian.com/football/2019/apr/06/manchester-city-brighton-fa-cup-semi-final-match-report
Tiger Roll makes repeat win look easy to join Grand National greats;https://www.theguardian.com/sport/2019/apr/06/tiger-roll-repeat-win-easy-join-grand-national-greats-horse-racing
Tom Youngs dismissal sums up Leicester Tigers’ torment in Exeter rout;https://www.theguardian.com/sport/2019/apr/06/tom-youngs-dismissal-sums-up-leicester-tigers-torment-in-exeter-rout
